,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,Nights Like This (feat. Ty Dolla $ign),While We Wait,Kehlani,2019-02-22,201787,78,0.61,0.367,0.61,0.725,0.0,0.154,-5.131,0.15,146.163,4
40,RPG (feat. 6lack),While We Wait,Kehlani,2019-02-22,236218,61,0.758,0.402,0.758,0.534,0.0,0.0917,-7.368,0.287,132.94,4
41,Butterfly,While We Wait,Kehlani,2019-02-22,163839,51,0.583,0.886,0.583,0.345,0.0,0.166,-8.044,0.0709,79.107,4
42,Love Language,While We Wait,Kehlani,2019-02-22,213364,56,0.582,0.124,0.582,0.586,0.0,0.0866,-4.369,0.0838,89.599,4
43,Valentine's Day (Shameful),Valentine's Day (Shameful),Kehlani,2020-02-19,291884,63,0.503,0.578,0.503,0.411,0.0,0.101,-10.602,0.387,134.752,4
44,Toxic,Toxic,Kehlani,2020-03-12,168182,71,0.656,0.307,0.656,0.453,0.00102,0.113,-5.395,0.0351,111.804,4
45,All Me (feat. Keyshia Cole),All Me (feat. Keyshia Cole),Kehlani,2019-12-23,178347,76,0.42,0.233,0.42,0.731,0.0,0.196,-2.657,0.0548,95.575,4
46,You Know Wassup,You Know Wassup,Kehlani,2019-11-22,201142,63,0.476,0.65,0.476,0.404,0.0,0.1,-8.899,0.0945,104.513,4
47,Again,Again,Kehlani,2018-02-09,220218,55,0.662,0.837,0.662,0.326,0.0,0.0985,-5.529,0.0293,95.926,4
48,Already Won,Already Won,Kehlani,2017-11-17,164165,46,0.511,0.246,0.511,0.794,0.0,0.161,-3.854,0.268,119.791,5
49,Touch,Touch,Kehlani,2017-10-13,183276,44,0.46,0.0157,0.46,0.593,0.000243,0.159,-7.393,0.0363,104.932,4
50,Honey,Honey,Kehlani,2017-10-06,199209,72,0.606,0.772,0.606,0.24,0.0,0.0819,-7.102,0.0369,96.792,4
51,24/7,24/7,Kehlani,2016-05-05,182257,45,0.662,0.261,0.662,0.532,0.0,0.0741,-7.407,0.0534,92.048,4
52,Did I,Did I,Kehlani,2015-12-18,215556,51,0.443,0.00677,0.443,0.627,0.0,0.0656,-4.481,0.151,128.485,4
53,FWU,FWU,Kehlani,2015-10-23,202682,49,0.626,0.0691,0.626,0.698,0.0,0.165,-6.122,0.0499,137.919,4
